#Software: unstable (commit nogit)
#Command: breakdancer-max -o Drosophila_subobscura_NC_048534.1 Puntos_rotura/OF58_puntos_rotura_bwamem2.cfg 
#Library Statistics:
#OF58_mate_proc_dupmarc_bwamem2.bam	mean:308.84	std:106.42	uppercutoff:706.3	lowercutoff:0	readlen:99.5	library:OF58	reflen:25941696	seqcov:39.4298	phycov:61.1935	1:8748	2:30816	4:27194	8:8281	32:47458
#Chr1	Pos1	Orientation1	Chr2	Pos2	Orientation2	Type	Size	Score	num_Reads	num_Reads_lib	OF58_mate_proc_dupmarc_bwamem2.bam
Drosophila_subobscura_NC_048534.1	924331	26+1-	Drosophila_subobscura_NC_048534.1	927741	27+0-	INV	3020	99	25	OF58_mate_proc_dupmarc_bwamem2.bam|25	1.78
Drosophila_subobscura_NC_048534.1	937517	46+45-	Drosophila_subobscura_NC_048534.1	942943	46+87-	DEL	5510	99	31	OF58_mate_proc_dupmarc_bwamem2.bam|31	0.08
Drosophila_subobscura_NC_048534.1	943847	46+87-	Drosophila_subobscura_NC_048534.1	944315	49+42-	INV	390	99	88	OF58_mate_proc_dupmarc_bwamem2.bam|88	0.81
Drosophila_subobscura_NC_048534.1	952204	26+44-	Drosophila_subobscura_NC_048534.1	952614	26+44-	INV	-36	31	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	959700	31+0-	Drosophila_subobscura_NC_048534.1	961367	0+34-	DEL	1703	99	30	OF58_mate_proc_dupmarc_bwamem2.bam|30	0.27
Drosophila_subobscura_NC_048534.1	988540	52+0-	Drosophila_subobscura_NC_048534.1	998830	0+51-	DEL	10358	99	51	OF58_mate_proc_dupmarc_bwamem2.bam|51	0.11
Drosophila_subobscura_NC_048534.1	1012673	11+0-	Drosophila_subobscura_NC_048534.1	1013800	8+21-	INV	915	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	0.30
Drosophila_subobscura_NC_048534.1	1034625	3+12-	Drosophila_subobscura_NC_048534.1	1035432	2+35-	INV	481	99	12	OF58_mate_proc_dupmarc_bwamem2.bam|12	0.70
Drosophila_subobscura_NC_048534.1	1067628	45+0-	Drosophila_subobscura_NC_048534.1	1068385	1+45-	DEL	849	99	45	OF58_mate_proc_dupmarc_bwamem2.bam|45	0.05
Drosophila_subobscura_NC_048534.1	1072994	48+25-	Drosophila_subobscura_NC_048534.1	1073224	48+25-	ITX	-286	99	25	OF58_mate_proc_dupmarc_bwamem2.bam|25	NA
Drosophila_subobscura_NC_048534.1	1100296	6+0-	Drosophila_subobscura_NC_048534.1	1100754	0+6-	DEL	451	72	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	0.50
Drosophila_subobscura_NC_048534.1	1109429	52+1-	Drosophila_subobscura_NC_048534.1	1110152	0+53-	DEL	798	99	52	OF58_mate_proc_dupmarc_bwamem2.bam|52	0.25
Drosophila_subobscura_NC_048534.1	1113500	3+0-	Drosophila_subobscura_NC_048534.1	1114009	0+4-	DEL	455	48	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	1.18
Drosophila_subobscura_NC_048534.1	1127061	47+0-	Drosophila_subobscura_NC_048534.1	1127772	0+18-	DEL	758	99	18	OF58_mate_proc_dupmarc_bwamem2.bam|18	0.17
Drosophila_subobscura_NC_048534.1	1127061	47+0-	Drosophila_subobscura_NC_048534.1	1127941	0+29-	DEL	875	99	29	OF58_mate_proc_dupmarc_bwamem2.bam|29	0.28
Drosophila_subobscura_NC_048534.1	1128794	24+0-	Drosophila_subobscura_NC_048534.1	1129207	0+29-	DEL	488	99	24	OF58_mate_proc_dupmarc_bwamem2.bam|24	0.12
Drosophila_subobscura_NC_048534.1	1134007	24+0-	Drosophila_subobscura_NC_048534.1	1136468	0+28-	DEL	2506	99	13	OF58_mate_proc_dupmarc_bwamem2.bam|13	0.12
Drosophila_subobscura_NC_048534.1	1049081	13+10-	Drosophila_subobscura_NC_048534.1	1198977	18+0-	ITX	149263	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	1.85
Drosophila_subobscura_NC_048534.1	1155500	66+0-	Drosophila_subobscura_NC_048534.1	1157887	0+66-	DEL	2457	99	66	OF58_mate_proc_dupmarc_bwamem2.bam|66	0.06
Drosophila_subobscura_NC_048534.1	1172277	10+4-	Drosophila_subobscura_NC_048534.1	1207760	1+16-	DEL	35485	99	9	OF58_mate_proc_dupmarc_bwamem2.bam|9	1.84
Drosophila_subobscura_NC_048534.1	1220990	34+0-	Drosophila_subobscura_NC_048534.1	1222607	0+29-	DEL	1653	99	27	OF58_mate_proc_dupmarc_bwamem2.bam|27	0.32
Drosophila_subobscura_NC_048534.1	1227740	3+0-	Drosophila_subobscura_NC_048534.1	1228208	0+2-	DEL	457	31	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.06
Drosophila_subobscura_NC_048534.1	1232703	39+0-	Drosophila_subobscura_NC_048534.1	1233514	25+41-	DEL	882	99	39	OF58_mate_proc_dupmarc_bwamem2.bam|39	0.01
Drosophila_subobscura_NC_048534.1	1233994	25+41-	Drosophila_subobscura_NC_048534.1	1234405	0+24-	DEL	512	99	24	OF58_mate_proc_dupmarc_bwamem2.bam|24	NA
Drosophila_subobscura_NC_048534.1	1239311	39+0-	Drosophila_subobscura_NC_048534.1	1240264	7+1-	INV	820	99	7	OF58_mate_proc_dupmarc_bwamem2.bam|7	0.17
Drosophila_subobscura_NC_048534.1	1239311	39+0-	Drosophila_subobscura_NC_048534.1	1240617	0+13-	DEL	1293	99	11	OF58_mate_proc_dupmarc_bwamem2.bam|11	0.21
Drosophila_subobscura_NC_048534.1	1259640	23+0-	Drosophila_subobscura_NC_048534.1	1281393	0+36-	DEL	21792	99	17	OF58_mate_proc_dupmarc_bwamem2.bam|17	1.94
Drosophila_subobscura_NC_048534.1	1403551	4+9-	Drosophila_subobscura_NC_048534.1	1413632	6+0-	ITX	9484	96	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	2.14
Drosophila_subobscura_NC_048534.1	1403663	4+9-	Drosophila_subobscura_NC_048534.1	1413777	0+4-	DEL	10098	51	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	2.18
Drosophila_subobscura_NC_048534.1	1284172	12+11-	Drosophila_subobscura_NC_048534.1	1580115	18+0-	INV	295569	99	11	OF58_mate_proc_dupmarc_bwamem2.bam|11	2.06
Drosophila_subobscura_NC_048534.1	1407170	0+9-	Drosophila_subobscura_NC_048534.1	1415639	9+0-	ITX	7851	99	9	OF58_mate_proc_dupmarc_bwamem2.bam|9	2.22
Drosophila_subobscura_NC_048534.1	1443421	55+0-	Drosophila_subobscura_NC_048534.1	1444109	0+56-	DEL	734	99	55	OF58_mate_proc_dupmarc_bwamem2.bam|55	0.23
Drosophila_subobscura_NC_048534.1	1476543	4+1-	Drosophila_subobscura_NC_048534.1	1476948	0+3-	DEL	443	33	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	1.16
Drosophila_subobscura_NC_048534.1	1509456	65+1-	Drosophila_subobscura_NC_048534.1	1515971	0+63-	DEL	6576	99	63	OF58_mate_proc_dupmarc_bwamem2.bam|63	0.86
Drosophila_subobscura_NC_048534.1	1513044	34+12-	Drosophila_subobscura_NC_048534.1	1513208	34+12-	ITX	-283	45	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	NA
Drosophila_subobscura_NC_048534.1	1524907	7+22-	Drosophila_subobscura_NC_048534.1	1525347	7+22-	INV	-93	99	14	OF58_mate_proc_dupmarc_bwamem2.bam|14	NA
Drosophila_subobscura_NC_048534.1	1543312	3+0-	Drosophila_subobscura_NC_048534.1	1543846	0+3-	DEL	456	45	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	0.83
Drosophila_subobscura_NC_048534.1	1543516	3+0-	Drosophila_subobscura_NC_048534.1	1544048	0+3-	DEL	475	49	3	OF58_mate_proc_dupmarc_bwamem2.bam|3	0.84
Drosophila_subobscura_NC_048534.1	1544932	2+2-	Drosophila_subobscura_NC_048534.1	1544952	2+2-	INV	-262	50	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
Drosophila_subobscura_NC_048534.1	1562209	0+54-	Drosophila_subobscura_NC_048534.1	1564306	56+0-	ITX	1382	99	54	OF58_mate_proc_dupmarc_bwamem2.bam|54	2.68
Drosophila_subobscura_NC_048534.1	1570481	13+0-	Drosophila_subobscura_NC_048534.1	1570970	0+19-	DEL	457	99	9	OF58_mate_proc_dupmarc_bwamem2.bam|9	0.36
Drosophila_subobscura_NC_048534.1	1610643	22+0-	Drosophila_subobscura_NC_048534.1	1610975	0+22-	DEL	465	99	22	OF58_mate_proc_dupmarc_bwamem2.bam|22	0.24
Drosophila_subobscura_NC_048534.1	1614622	52+1-	Drosophila_subobscura_NC_048534.1	1615384	1+52-	DEL	832	99	52	OF58_mate_proc_dupmarc_bwamem2.bam|52	0.05
Drosophila_subobscura_NC_048534.1	1619008	35+0-	Drosophila_subobscura_NC_048534.1	1619713	0+35-	DEL	771	99	35	OF58_mate_proc_dupmarc_bwamem2.bam|35	0.10
Drosophila_subobscura_NC_048534.1	1648577	45+1-	Drosophila_subobscura_NC_048534.1	1651012	0+47-	DEL	2508	99	45	OF58_mate_proc_dupmarc_bwamem2.bam|45	0.02
Drosophila_subobscura_NC_048534.1	1653182	47+0-	Drosophila_subobscura_NC_048534.1	1653897	14+39-	DEL	785	99	39	OF58_mate_proc_dupmarc_bwamem2.bam|39	0.73
Drosophila_subobscura_NC_048534.1	1626561	9+6-	Drosophila_subobscura_NC_048534.1	1656538	10+0-	INV	29665	99	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.11
Drosophila_subobscura_NC_048534.1	1626561	9+6-	Drosophila_subobscura_NC_048534.1	1656985	0+17-	INV	30033	99	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	1.10
Drosophila_subobscura_NC_048534.1	1673535	4+5-	Drosophila_subobscura_NC_048534.1	1734260	6+3-	INV	60398	99	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.56
Drosophila_subobscura_NC_048534.1	1706855	64+0-	Drosophila_subobscura_NC_048534.1	1707537	0+63-	DEL	755	99	63	OF58_mate_proc_dupmarc_bwamem2.bam|63	0.30
Drosophila_subobscura_NC_048534.1	1717423	48+0-	Drosophila_subobscura_NC_048534.1	1718127	1+48-	DEL	769	99	48	OF58_mate_proc_dupmarc_bwamem2.bam|48	0.10
Drosophila_subobscura_NC_048534.1	1741507	2+1-	Drosophila_subobscura_NC_048534.1	1742060	0+3-	DEL	452	45	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	0.89
Drosophila_subobscura_NC_048534.1	1741831	4+0-	Drosophila_subobscura_NC_048534.1	1742296	0+4-	DEL	445	51	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	0.88
Drosophila_subobscura_NC_048534.1	1753791	54+0-	Drosophila_subobscura_NC_048534.1	1754373	0+54-	DEL	664	99	54	OF58_mate_proc_dupmarc_bwamem2.bam|54	0.01
Drosophila_subobscura_NC_048534.1	1814078	3+0-	Drosophila_subobscura_NC_048534.1	1814541	0+2-	DEL	409	35	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.72
Drosophila_subobscura_NC_048534.1	1836820	22+17-	Drosophila_subobscura_NC_048534.1	1837136	22+17-	ITX	-161	99	17	OF58_mate_proc_dupmarc_bwamem2.bam|17	NA
Drosophila_subobscura_NC_048534.1	1837232	22+17-	Drosophila_subobscura_NC_048534.1	1837439	0+5-	DEL	447	48	5	OF58_mate_proc_dupmarc_bwamem2.bam|5	1.87
Drosophila_subobscura_NC_048534.1	1844632	17+1-	Drosophila_subobscura_NC_048534.1	1845495	0+17-	DEL	796	99	17	OF58_mate_proc_dupmarc_bwamem2.bam|17	0.14
Drosophila_subobscura_NC_048534.1	1848477	32+0-	Drosophila_subobscura_NC_048534.1	1848841	13+41-	INV	119	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	0.14
Drosophila_subobscura_NC_048534.1	1848477	32+0-	Drosophila_subobscura_NC_048534.1	1849019	11+7-	INV	363	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	0.87
Drosophila_subobscura_NC_048534.1	1855195	2+0-	Drosophila_subobscura_NC_048534.1	1855717	0+2-	DEL	446	39	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.98
Drosophila_subobscura_NC_048534.1	1858201	46+0-	Drosophila_subobscura_NC_048534.1	1860557	5+31-	DEL	2405	99	31	OF58_mate_proc_dupmarc_bwamem2.bam|31	0.02
Drosophila_subobscura_NC_048534.1	1821544	10+0-	Drosophila_subobscura_NC_048534.1	1866084	0+21-	DEL	44494	94	9	OF58_mate_proc_dupmarc_bwamem2.bam|9	1.40
Drosophila_subobscura_NC_048534.1	1938185	37+0-	Drosophila_subobscura_NC_048534.1	1938949	0+37-	DEL	826	99	37	OF58_mate_proc_dupmarc_bwamem2.bam|37	0.06
Drosophila_subobscura_NC_048534.1	1940884	38+0-	Drosophila_subobscura_NC_048534.1	1941612	0+38-	DEL	809	99	38	OF58_mate_proc_dupmarc_bwamem2.bam|38	0.07
Drosophila_subobscura_NC_048534.1	1956393	24+0-	Drosophila_subobscura_NC_048534.1	1961968	0+55-	DEL	5607	99	23	OF58_mate_proc_dupmarc_bwamem2.bam|23	0.09
Drosophila_subobscura_NC_048534.1	1963214	41+0-	Drosophila_subobscura_NC_048534.1	1963966	0+41-	DEL	827	99	39	OF58_mate_proc_dupmarc_bwamem2.bam|39	NA
Drosophila_subobscura_NC_048534.1	1982511	27+33-	Drosophila_subobscura_NC_048534.1	1983188	41+0-	INV	356	99	24	OF58_mate_proc_dupmarc_bwamem2.bam|24	0.98
Drosophila_subobscura_NC_048534.1	1982511	27+33-	Drosophila_subobscura_NC_048534.1	1983960	46+68-	INV	725	99	26	OF58_mate_proc_dupmarc_bwamem2.bam|26	0.74
Drosophila_subobscura_NC_048534.1	1990923	46+0-	Drosophila_subobscura_NC_048534.1	1992570	9+38-	DEL	1680	99	35	OF58_mate_proc_dupmarc_bwamem2.bam|35	0.04
Drosophila_subobscura_NC_048534.1	2004098	42+0-	Drosophila_subobscura_NC_048534.1	2004500	49+87-	DEL	488	99	38	OF58_mate_proc_dupmarc_bwamem2.bam|38	0.17
Drosophila_subobscura_NC_048534.1	2030117	8+0-	Drosophila_subobscura_NC_048534.1	2133245	9+0-	INV	102810	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	1.93
Drosophila_subobscura_NC_048534.1	2131237	37+0-	Drosophila_subobscura_NC_048534.1	2131974	0+38-	DEL	794	99	37	OF58_mate_proc_dupmarc_bwamem2.bam|37	NA
Drosophila_subobscura_NC_048534.1	605070	12+4-	Drosophila_subobscura_NC_048534.1	2226506	39+28-	INV	1620596	99	12	OF58_mate_proc_dupmarc_bwamem2.bam|12	1.82
Drosophila_subobscura_NC_048534.1	1773425	8+0-	Drosophila_subobscura_NC_048534.1	2200277	22+25-	INV	426486	79	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.84
Drosophila_subobscura_NC_048534.1	1773630	20+0-	Drosophila_subobscura_NC_048534.1	2200277	22+25-	INV	426316	99	7	OF58_mate_proc_dupmarc_bwamem2.bam|7	1.84
Drosophila_subobscura_NC_048534.1	1774045	1+55-	Drosophila_subobscura_NC_048534.1	2200277	22+25-	INV	426027	99	20	OF58_mate_proc_dupmarc_bwamem2.bam|20	1.84
Drosophila_subobscura_NC_048534.1	1989396	5+6-	Drosophila_subobscura_NC_048534.1	2341559	8+0-	INV	351709	89	5	OF58_mate_proc_dupmarc_bwamem2.bam|5	1.80
Drosophila_subobscura_NC_048534.1	1989396	5+6-	Drosophila_subobscura_NC_048534.1	2341826	1+6-	INV	352089	99	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	1.80
Drosophila_subobscura_NC_048534.1	2056907	4+4-	Drosophila_subobscura_NC_048534.1	2344358	7+6-	ITX	286879	53	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.76
Drosophila_subobscura_NC_048534.1	2057019	4+4-	Drosophila_subobscura_NC_048534.1	2344473	0+18-	DEL	287492	44	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.76
Drosophila_subobscura_NC_048534.1	2173993	54+23-	Drosophila_subobscura_NC_048534.1	2174344	54+23-	INV	-49	99	8	OF58_mate_proc_dupmarc_bwamem2.bam|8	NA
Drosophila_subobscura_NC_048534.1	2181943	1+13-	Drosophila_subobscura_NC_048534.1	2185297	0+3-	INV	3093	48	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	0.51
Drosophila_subobscura_NC_048534.1	2241627	43+0-	Drosophila_subobscura_NC_048534.1	2242315	0+45-	DEL	825	99	42	OF58_mate_proc_dupmarc_bwamem2.bam|42	0.12
Drosophila_subobscura_NC_048534.1	2263666	2+34-	Drosophila_subobscura_NC_048534.1	2266519	10+0-	INV	2692	32	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.61
Drosophila_subobscura_NC_048534.1	2263666	2+34-	Drosophila_subobscura_NC_048534.1	2266961	1+10-	INV	3131	32	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.58
Drosophila_subobscura_NC_048534.1	2274004	30+2-	Drosophila_subobscura_NC_048534.1	2274687	0+30-	DEL	813	99	30	OF58_mate_proc_dupmarc_bwamem2.bam|30	0.10
Drosophila_subobscura_NC_048534.1	2309596	49+0-	Drosophila_subobscura_NC_048534.1	2310062	0+18-	DEL	501	99	18	OF58_mate_proc_dupmarc_bwamem2.bam|18	0.10
Drosophila_subobscura_NC_048534.1	2312089	43+17-	Drosophila_subobscura_NC_048534.1	2312908	1+44-	DEL	908	99	43	OF58_mate_proc_dupmarc_bwamem2.bam|43	0.16
Drosophila_subobscura_NC_048534.1	2330147	43+0-	Drosophila_subobscura_NC_048534.1	2330877	0+43-	DEL	807	99	43	OF58_mate_proc_dupmarc_bwamem2.bam|43	0.15
Drosophila_subobscura_NC_048534.1	532233	1+21-	Drosophila_subobscura_NC_048534.1	2442104	8+11-	ITX	1909284	64	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.81
Drosophila_subobscura_NC_048534.1	1606632	0+2-	Drosophila_subobscura_NC_048534.1	2516811	8+10-	INV	909781	48	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	1.71
Drosophila_subobscura_NC_048534.1	1606969	0+5-	Drosophila_subobscura_NC_048534.1	2516811	8+10-	INV	682061	75	4	OF58_mate_proc_dupmarc_bwamem2.bam|4	1.71
Drosophila_subobscura_NC_048534.1	2354604	37+0-	Drosophila_subobscura_NC_048534.1	2355368	0+37-	DEL	847	99	37	OF58_mate_proc_dupmarc_bwamem2.bam|37	0.02
Drosophila_subobscura_NC_048534.1	2371355	54+0-	Drosophila_subobscura_NC_048534.1	2372140	0+51-	DEL	832	99	51	OF58_mate_proc_dupmarc_bwamem2.bam|51	0.06
Drosophila_subobscura_NC_048534.1	2385814	35+0-	Drosophila_subobscura_NC_048534.1	2387453	0+51-	DEL	1690	99	29	OF58_mate_proc_dupmarc_bwamem2.bam|29	0.17
Drosophila_subobscura_NC_048534.1	2398795	53+0-	Drosophila_subobscura_NC_048534.1	2399255	11+69-	DEL	543	99	53	OF58_mate_proc_dupmarc_bwamem2.bam|53	0.03
Drosophila_subobscura_NC_048534.1	2452702	26+0-	Drosophila_subobscura_NC_048534.1	2453310	45+33-	DEL	643	99	26	OF58_mate_proc_dupmarc_bwamem2.bam|26	1.73
Drosophila_subobscura_NC_048534.1	2452735	0+30-	Drosophila_subobscura_NC_048534.1	2453550	45+33-	ITX	160	99	29	OF58_mate_proc_dupmarc_bwamem2.bam|29	0.88
Drosophila_subobscura_NC_048534.1	2461314	16+4-	Drosophila_subobscura_NC_048534.1	2462030	0+49-	DEL	627	60	5	OF58_mate_proc_dupmarc_bwamem2.bam|5	0.14
Drosophila_subobscura_NC_048534.1	2485850	71+36-	Drosophila_subobscura_NC_048534.1	2490818	3+37-	DEL	5037	99	30	OF58_mate_proc_dupmarc_bwamem2.bam|30	0.01
Drosophila_subobscura_NC_048534.1	2505045	6+0-	Drosophila_subobscura_NC_048534.1	2505909	0+48-	DEL	760	74	6	OF58_mate_proc_dupmarc_bwamem2.bam|6	0.47
Drosophila_subobscura_NC_048534.1	2571127	5+0-	Drosophila_subobscura_NC_048534.1	2571217	5+0-	INV	-211	44	2	OF58_mate_proc_dupmarc_bwamem2.bam|2	NA
